Process 0 counted languages: Counter({'en': 22491651, 'de': 1635537, '<None>': 644801, 'es': 385703, 'fr': 383728, 'zh': 289853, 'nl': 221422, 'ru': 189915, 'ja': 178651, 'it': 157979, 'fi': 131991, 'pt': 97310, 'sv': 47574, 'ca': 37845, 'uk': 35212, 'zh-CN': 33258, 'en-us': 28446, 'th': 27783, 'pl': 20800, 'da': 17559, 'hu': 13237, 'ko': 12769, 'fa': 12008, 'el': 11657, 'no': 9082, 'cs': 8972, 'cy': 8574, 'hr': 6769, 'tr': 6615, 'nb': 5911, 'ar': 5341, 'id': 5231, 'zh-TW': 4720, 'sco': 4460, 'he': 4022, 'eo': 3754, 'lt': 3557, 'ro': 3273, 'qme': 3202, 'gl': 3020, 'zxx': 2448, 'sl': 2395, 'und': 2093, 'en-gb': 1593, 'tl': 1560, 'vi': 1544, 'eu': 1510, 'nn': 1426, 'ga': 1227, 'et': 1214, 'is': 1106, 'zh-HK': 1025, 'in': 1016, 'ms': 986, 'gd': 965, 'ht': 924, 'sk': 882, 'sr': 866, 'lv': 809, 'zhCn': 681, 'EN': 643, 'af': 611, 'lb': 537, 'startrek_it': 453, 'art': 441, 'un': 432, 'hi': 362, 'jv': 308, 'aa': 295, 'bg': 285, 'co': 257, 'ta': 221, 'am': 196, 'sw': 194, 'qst': 188, 'la': 187, 'be': 181, 'kk': 159, 'fy': 155, 'mi': 143, 'ber': 141, 'sq': 138, 'ptPt': 133, 'pt-br': 131, 'hy': 111, 'ne': 102, 'bn': 75, 'squeak': 75, 'mg': 75, 'km': 74, 'zu': 73, 'ak': 73, 'qht': 68, 'sn': 63, 'tok': 63, 'rn': 60, 'so': 54, 'as': 53, 'mt': 50, 'mk': 43, 'yi': 40, 'ig': 38, 'DE': 38, 'ptBr': 37, 'mr': 32, 'om': 31, 'tlh': 26, 'oc': 24, 'lad': 23, 'ny': 22, 'az': 21, 'bs': 21, 'xh': 21, 'kn': 21, 'ha': 19, 'uz': 19, 'an': 19, 'ae': 17, 'br': 17, 'ml': 17, 'ast': 16, 'sm': 15, 'su': 14, 'ab': 14, 'sc': 14, 'ku': 12, 'ie': 11, 'ky': 9, 'wo': 9, 'qam': 8, 'na': 8, 'bm': 8, 'tk': 8, 'zh-hans': 8, 'ur': 7, 'zhTw': 7, 'fo': 7, 'kw': 7, 'vo': 7, 'ksh': 7, 'st': 6, 'yo': 6, 'esAr': 5, 'ldn': 5, 'tg': 4, 'dv': 4, 'kab': 4, 'ff': 4, 'my': 3, 'enMo': 3, 'cu': 3, 'szl': 3, 'ia': 3, 'tw': 3, 'ps': 3, 'cv': 3, 'chr': 3, 'TH': 3, 'av': 2, 'lfn': 2, 'wa': 2, 'kj': 2, 'sa': 2, 'zgh': 2, 'mn': 2, 'CS': 2, 'unk': 2, 'mul': 2, 'RU': 2, 'si': 1, 'nds': 1, 'pa': 1, 'enCy': 1, 'ss': 1, 'te': 1, 'ch': 1, 'bh': 1, 'rm': 1, 'cnr': 1, 'zhHk': 1, 'ho': 1, 'ay': 1, 'mh': 1, 'sd': 1, 'io': 1, 'ln': 1, 'cr': 1, 'ee': 1, 'ng': 1, 'ba': 1, 'se': 1, 'za': 1, 'li': 1, 'FI': 1, 'zite': 1, 'ID': 1})
Total language counts: [('en', 22491651), ('de', 1635537), ('<None>', 644801), ('es', 385703), ('fr', 383728), ('zh', 289853), ('nl', 221422), ('ru', 189915), ('ja', 178651), ('it', 157979), ('fi', 131991), ('pt', 97310), ('sv', 47574), ('ca', 37845), ('uk', 35212), ('zh-CN', 33258), ('en-us', 28446), ('th', 27783), ('pl', 20800), ('da', 17559), ('hu', 13237), ('ko', 12769), ('fa', 12008), ('el', 11657), ('no', 9082), ('cs', 8972), ('cy', 8574), ('hr', 6769), ('tr', 6615), ('nb', 5911), ('ar', 5341), ('id', 5231), ('zh-TW', 4720), ('sco', 4460), ('he', 4022), ('eo', 3754), ('lt', 3557), ('ro', 3273), ('qme', 3202), ('gl', 3020), ('zxx', 2448), ('sl', 2395), ('und', 2093), ('en-gb', 1593), ('tl', 1560), ('vi', 1544), ('eu', 1510), ('nn', 1426), ('ga', 1227), ('et', 1214), ('is', 1106), ('zh-HK', 1025), ('in', 1016), ('ms', 986), ('gd', 965), ('ht', 924), ('sk', 882), ('sr', 866), ('lv', 809), ('zhCn', 681), ('EN', 643), ('af', 611), ('lb', 537), ('startrek_it', 453), ('art', 441), ('un', 432), ('hi', 362), ('jv', 308), ('aa', 295), ('bg', 285), ('co', 257), ('ta', 221), ('am', 196), ('sw', 194), ('qst', 188), ('la', 187), ('be', 181), ('kk', 159), ('fy', 155), ('mi', 143), ('ber', 141), ('sq', 138), ('ptPt', 133), ('pt-br', 131), ('hy', 111), ('ne', 102), ('bn', 75), ('squeak', 75), ('mg', 75), ('km', 74), ('zu', 73), ('ak', 73), ('qht', 68), ('sn', 63), ('tok', 63), ('rn', 60), ('so', 54), ('as', 53), ('mt', 50), ('mk', 43), ('yi', 40), ('ig', 38), ('DE', 38), ('ptBr', 37), ('mr', 32), ('om', 31), ('tlh', 26), ('oc', 24), ('lad', 23), ('ny', 22), ('az', 21), ('bs', 21), ('xh', 21), ('kn', 21), ('ha', 19), ('uz', 19), ('an', 19), ('ae', 17), ('br', 17), ('ml', 17), ('ast', 16), ('sm', 15), ('su', 14), ('ab', 14), ('sc', 14), ('ku', 12), ('ie', 11), ('ky', 9), ('wo', 9), ('qam', 8), ('na', 8), ('bm', 8), ('tk', 8), ('zh-hans', 8), ('ur', 7), ('zhTw', 7), ('fo', 7), ('kw', 7), ('vo', 7), ('ksh', 7), ('st', 6), ('yo', 6), ('esAr', 5), ('ldn', 5), ('tg', 4), ('dv', 4), ('kab', 4), ('ff', 4), ('my', 3), ('enMo', 3), ('cu', 3), ('szl', 3), ('ia', 3), ('tw', 3), ('ps', 3), ('cv', 3), ('chr', 3), ('TH', 3), ('av', 2), ('lfn', 2), ('wa', 2), ('kj', 2), ('sa', 2), ('zgh', 2), ('mn', 2), ('CS', 2), ('unk', 2), ('mul', 2), ('RU', 2), ('si', 1), ('nds', 1), ('pa', 1), ('enCy', 1), ('ss', 1), ('te', 1), ('ch', 1), ('bh', 1), ('rm', 1), ('cnr', 1), ('zhHk', 1), ('ho', 1), ('ay', 1), ('mh', 1), ('sd', 1), ('io', 1), ('ln', 1), ('cr', 1), ('ee', 1), ('ng', 1), ('ba', 1), ('se', 1), ('za', 1), ('li', 1), ('FI', 1), ('zite', 1), ('ID', 1)]
Language | Frequency
---------|----------
en       | 22491651
de       | 1635537
<None>   | 644801
es       | 385703
fr       | 383728
zh       | 289853
nl       | 221422
ru       | 189915
ja       | 178651
it       | 157979
fi       | 131991
pt       | 97310
sv       | 47574
ca       | 37845
uk       | 35212
zh-CN    | 33258
en-us    | 28446
th       | 27783
pl       | 20800
da       | 17559
hu       | 13237
ko       | 12769
fa       | 12008
el       | 11657
no       | 9082
cs       | 8972
cy       | 8574
hr       | 6769
tr       | 6615
nb       | 5911
ar       | 5341
id       | 5231
zh-TW    | 4720
sco      | 4460
he       | 4022
eo       | 3754
lt       | 3557
ro       | 3273
qme      | 3202
gl       | 3020
zxx      | 2448
sl       | 2395
und      | 2093
en-gb    | 1593
tl       | 1560
vi       | 1544
eu       | 1510
nn       | 1426
ga       | 1227
et       | 1214
is       | 1106
zh-HK    | 1025
in       | 1016
ms       | 986
gd       | 965
ht       | 924
sk       | 882
sr       | 866
lv       | 809
zhCn     | 681
EN       | 643
af       | 611
lb       | 537
startrek_it| 453
art      | 441
un       | 432
hi       | 362
jv       | 308
aa       | 295
bg       | 285
co       | 257
ta       | 221
am       | 196
sw       | 194
qst      | 188
la       | 187
be       | 181
kk       | 159
fy       | 155
mi       | 143
ber      | 141
sq       | 138
ptPt     | 133
pt-br    | 131
hy       | 111
ne       | 102
bn       | 75
squeak   | 75
mg       | 75
km       | 74
zu       | 73
ak       | 73
qht      | 68
sn       | 63
tok      | 63
rn       | 60
so       | 54
as       | 53
mt       | 50
mk       | 43
yi       | 40
ig       | 38
DE       | 38
ptBr     | 37
mr       | 32
om       | 31
tlh      | 26
oc       | 24
lad      | 23
ny       | 22
az       | 21
bs       | 21
xh       | 21
kn       | 21
ha       | 19
uz       | 19
an       | 19
ae       | 17
br       | 17
ml       | 17
ast      | 16
sm       | 15
su       | 14
ab       | 14
sc       | 14
ku       | 12
ie       | 11
ky       | 9
wo       | 9
qam      | 8
na       | 8
bm       | 8
tk       | 8
zh-hans  | 8
ur       | 7
zhTw     | 7
fo       | 7
kw       | 7
vo       | 7
ksh      | 7
st       | 6
yo       | 6
esAr     | 5
ldn      | 5
tg       | 4
dv       | 4
kab      | 4
ff       | 4
my       | 3
enMo     | 3
cu       | 3
szl      | 3
ia       | 3
tw       | 3
ps       | 3
cv       | 3
chr      | 3
TH       | 3
av       | 2
lfn      | 2
wa       | 2
kj       | 2
sa       | 2
zgh      | 2
mn       | 2
CS       | 2
unk      | 2
mul      | 2
RU       | 2
si       | 1
nds      | 1
pa       | 1
enCy     | 1
ss       | 1
te       | 1
ch       | 1
bh       | 1
rm       | 1
cnr      | 1
zhHk     | 1
ho       | 1
ay       | 1
mh       | 1
sd       | 1
io       | 1
ln       | 1
cr       | 1
ee       | 1
ng       | 1
ba       | 1
se       | 1
za       | 1
li       | 1
FI       | 1
zite     | 1
ID       | 1
Execution time: 898.748182 seconds
