Process 0 counted languages: Counter({'en': 72772745, 'de': 2103551, 'es': 635915, '<Missing>': 616382, 'fr': 482957, 'pt': 269539, 'pl': 228583, 'ja': 227321, 'fi': 143567, 'en-AU': 120529, 'nl': 109243, 'it': 80743, 'sv': 70383, 'tr': 65374, 'sq': 34802, 'ak': 33013, 'ru': 32590, 'ko': 29796, 'el': 29068, 'zh': 28821, 'ar': 27171, '<empty>': 25340, 'am': 25218, 'ca': 24463, 'uk': 24141, 'af': 18134, 'nb': 16858, 'da': 16537, 'aa': 14521, 'ab': 11406, 'av': 11063, 'as': 10628, 'ga': 10367, 'cs': 10365, 'an': 9396, 'ae': 8821, 'he': 6906, 'en-US': 6442, 'hy': 6378, 'th': 5585, 'gl': 4935, 'ay': 4075, 'la': 3581, 'Angika': 3547, 'cy': 2832, 'et': 2555, 'hr': 2516, 'sk': 2506, 'hu': 2428, 'en-GB': 1854, 'tl': 1813, 'id': 1780, 'is': 1777, 'gd': 1709, 'no': 1701, 'lg': 1560, 'cu': 1447, 'lt': 1357, 'bg': 1335, 'mi': 1294, 'ro': 1246, 'eu': 1029, 'eo': 1005, 'sr': 983, 'vi': 892, 'fa': 874, 'ce': 707, 'sl': 678, 'rn': 648, 'ja-JP': 647, 'sa': 622, 'lv': 568, 'yi': 567, 'bm': 458, 'hi': 427, 'nn': 425, 'zu': 419, 'fj': 414, 'az': 387, 'sc': 384, 'za': 342, 'st': 331, 'ig': 314, 'bn': 301, 'ber': 268, 'ss': 264, 'br': 236, 'mk': 211, 'tw': 210, 'ur': 192, 'en-CA': 189, 'ka': 175, 'be': 173, 'fo': 160, 'fa-IR': 148, 'bs': 142, 'ksh': 126, 'en-us': 111, 'nr': 109, 'ky': 103, 'bh': 102, 'kv': 102, 'ht': 99, 'sco': 98, 'ch': 98, 'ba': 96, 'ny': 91, 'ta': 90, 'fil': 87, 'ug': 81, 'de-DE': 72, 'pt-BR': 69, 'ho': 69, 'km': 68, 'sm': 67, 'kw': 66, 'uz': 65, 'pa': 63, 'ms': 61, 'gv': 59, 'dv': 58, 'su': 57, 'in': 50, 'en-UK': 49, 'tlh': 47, 'my': 47, 'moh': 43, 'ti': 39, 'wo': 37, 'lb': 35, 'nv': 35, 'lo': 34, 'kl': 34, 'pi': 33, 'fr-FR': 33, 'haw': 33, 'ban': 30, 'ia': 27, 'ast': 27, 'wa': 27, 'bo': 27, 'ml': 25, 'vo': 24, 'gu': 24, 'oc': 22, 'mg': 20, 'bi': 20, 'ie': 19, 'ars': 19, 'ff': 19, 'yue': 18, 'gsw': 18, 'jv': 18, 'nl-NL': 17, 'fy': 17, 'ik': 17, 'wuu': 16, 'yo': 15, 'gn': 14, 'se': 13, 'oj': 12, 'es-ES': 12, 'kn': 12, 'und': 11, 'tn': 10, 'iw': 10, 'dz': 10, 'ko-KR': 9, 'sw': 9, 'kk': 7, 'ha': 7, 'iu': 7, 'ro-RO': 6, 'cr': 6, 'sv-FI': 5, 'sv-SE': 5, 'hsb': 5, 'sn': 5, 'syr': 5, 'tk': 4, 'nl-BE': 4, 'frc': 4, 'kg': 4, 'ne': 3, 'rm': 3, 'gaa': 2, 'ee': 2, 'co': 2, 'nd': 2, 'ada': 2, 'lkt': 2, 'ki': 2, 'tg': 2, 'zh-CN': 2, 'te': 2, 'uk-UA': 2, 'ain': 2, 'zh-TW': 2, 'szl': 2, 'mr': 2, 'nap': 1, 'zxx': 1, 'to': 1, 'un': 1, 'lou': 1, 'scn': 1, 'es-MX': 1, 'mn': 1, 'chr': 1, 'pt-PT': 1, 'zh-tw': 1, 'tet': 1, 'cv': 1, 'Fr': 1, 'lad': 1, 'awa': 1, 'xog': 1, 'si': 1, 'en-SG': 1, 'mt': 1, 'so': 1})
Total language counts: [('en', 72772745), ('de', 2103551), ('es', 635915), ('<Missing>', 616382), ('fr', 482957), ('pt', 269539), ('pl', 228583), ('ja', 227321), ('fi', 143567), ('en-AU', 120529), ('nl', 109243), ('it', 80743), ('sv', 70383), ('tr', 65374), ('sq', 34802), ('ak', 33013), ('ru', 32590), ('ko', 29796), ('el', 29068), ('zh', 28821), ('ar', 27171), ('<empty>', 25340), ('am', 25218), ('ca', 24463), ('uk', 24141), ('af', 18134), ('nb', 16858), ('da', 16537), ('aa', 14521), ('ab', 11406), ('av', 11063), ('as', 10628), ('ga', 10367), ('cs', 10365), ('an', 9396), ('ae', 8821), ('he', 6906), ('en-US', 6442), ('hy', 6378), ('th', 5585), ('gl', 4935), ('ay', 4075), ('la', 3581), ('Angika', 3547), ('cy', 2832), ('et', 2555), ('hr', 2516), ('sk', 2506), ('hu', 2428), ('en-GB', 1854), ('tl', 1813), ('id', 1780), ('is', 1777), ('gd', 1709), ('no', 1701), ('lg', 1560), ('cu', 1447), ('lt', 1357), ('bg', 1335), ('mi', 1294), ('ro', 1246), ('eu', 1029), ('eo', 1005), ('sr', 983), ('vi', 892), ('fa', 874), ('ce', 707), ('sl', 678), ('rn', 648), ('ja-JP', 647), ('sa', 622), ('lv', 568), ('yi', 567), ('bm', 458), ('hi', 427), ('nn', 425), ('zu', 419), ('fj', 414), ('az', 387), ('sc', 384), ('za', 342), ('st', 331), ('ig', 314), ('bn', 301), ('ber', 268), ('ss', 264), ('br', 236), ('mk', 211), ('tw', 210), ('ur', 192), ('en-CA', 189), ('ka', 175), ('be', 173), ('fo', 160), ('fa-IR', 148), ('bs', 142), ('ksh', 126), ('en-us', 111), ('nr', 109), ('ky', 103), ('bh', 102), ('kv', 102), ('ht', 99), ('sco', 98), ('ch', 98), ('ba', 96), ('ny', 91), ('ta', 90), ('fil', 87), ('ug', 81), ('de-DE', 72), ('pt-BR', 69), ('ho', 69), ('km', 68), ('sm', 67), ('kw', 66), ('uz', 65), ('pa', 63), ('ms', 61), ('gv', 59), ('dv', 58), ('su', 57), ('in', 50), ('en-UK', 49), ('tlh', 47), ('my', 47), ('moh', 43), ('ti', 39), ('wo', 37), ('lb', 35), ('nv', 35), ('lo', 34), ('kl', 34), ('pi', 33), ('fr-FR', 33), ('haw', 33), ('ban', 30), ('ia', 27), ('ast', 27), ('wa', 27), ('bo', 27), ('ml', 25), ('vo', 24), ('gu', 24), ('oc', 22), ('mg', 20), ('bi', 20), ('ie', 19), ('ars', 19), ('ff', 19), ('yue', 18), ('gsw', 18), ('jv', 18), ('nl-NL', 17), ('fy', 17), ('ik', 17), ('wuu', 16), ('yo', 15), ('gn', 14), ('se', 13), ('oj', 12), ('es-ES', 12), ('kn', 12), ('und', 11), ('tn', 10), ('iw', 10), ('dz', 10), ('ko-KR', 9), ('sw', 9), ('kk', 7), ('ha', 7), ('iu', 7), ('ro-RO', 6), ('cr', 6), ('sv-FI', 5), ('sv-SE', 5), ('hsb', 5), ('sn', 5), ('syr', 5), ('tk', 4), ('nl-BE', 4), ('frc', 4), ('kg', 4), ('ne', 3), ('rm', 3), ('gaa', 2), ('ee', 2), ('co', 2), ('nd', 2), ('ada', 2), ('lkt', 2), ('ki', 2), ('tg', 2), ('zh-CN', 2), ('te', 2), ('uk-UA', 2), ('ain', 2), ('zh-TW', 2), ('szl', 2), ('mr', 2), ('nap', 1), ('zxx', 1), ('to', 1), ('un', 1), ('lou', 1), ('scn', 1), ('es-MX', 1), ('mn', 1), ('chr', 1), ('pt-PT', 1), ('zh-tw', 1), ('tet', 1), ('cv', 1), ('Fr', 1), ('lad', 1), ('awa', 1), ('xog', 1), ('si', 1), ('en-SG', 1), ('mt', 1), ('so', 1)]
Language | Frequency
---------|----------
en       | 72772745
de       | 2103551
es       | 635915
<Missing>| 616382
fr       | 482957
pt       | 269539
pl       | 228583
ja       | 227321
fi       | 143567
en-AU    | 120529
nl       | 109243
it       | 80743
sv       | 70383
tr       | 65374
sq       | 34802
ak       | 33013
ru       | 32590
ko       | 29796
el       | 29068
zh       | 28821
ar       | 27171
<empty>  | 25340
am       | 25218
ca       | 24463
uk       | 24141
af       | 18134
nb       | 16858
da       | 16537
aa       | 14521
ab       | 11406
av       | 11063
as       | 10628
ga       | 10367
cs       | 10365
an       | 9396
ae       | 8821
he       | 6906
en-US    | 6442
hy       | 6378
th       | 5585
gl       | 4935
ay       | 4075
la       | 3581
Angika   | 3547
cy       | 2832
et       | 2555
hr       | 2516
sk       | 2506
hu       | 2428
en-GB    | 1854
tl       | 1813
id       | 1780
is       | 1777
gd       | 1709
no       | 1701
lg       | 1560
cu       | 1447
lt       | 1357
bg       | 1335
mi       | 1294
ro       | 1246
eu       | 1029
eo       | 1005
sr       | 983
vi       | 892
fa       | 874
ce       | 707
sl       | 678
rn       | 648
ja-JP    | 647
sa       | 622
lv       | 568
yi       | 567
bm       | 458
hi       | 427
nn       | 425
zu       | 419
fj       | 414
az       | 387
sc       | 384
za       | 342
st       | 331
ig       | 314
bn       | 301
ber      | 268
ss       | 264
br       | 236
mk       | 211
tw       | 210
ur       | 192
en-CA    | 189
ka       | 175
be       | 173
fo       | 160
fa-IR    | 148
bs       | 142
ksh      | 126
en-us    | 111
nr       | 109
ky       | 103
bh       | 102
kv       | 102
ht       | 99
sco      | 98
ch       | 98
ba       | 96
ny       | 91
ta       | 90
fil      | 87
ug       | 81
de-DE    | 72
pt-BR    | 69
ho       | 69
km       | 68
sm       | 67
kw       | 66
uz       | 65
pa       | 63
ms       | 61
gv       | 59
dv       | 58
su       | 57
in       | 50
en-UK    | 49
tlh      | 47
my       | 47
moh      | 43
ti       | 39
wo       | 37
lb       | 35
nv       | 35
lo       | 34
kl       | 34
pi       | 33
fr-FR    | 33
haw      | 33
ban      | 30
ia       | 27
ast      | 27
wa       | 27
bo       | 27
ml       | 25
vo       | 24
gu       | 24
oc       | 22
mg       | 20
bi       | 20
ie       | 19
ars      | 19
ff       | 19
yue      | 18
gsw      | 18
jv       | 18
nl-NL    | 17
fy       | 17
ik       | 17
wuu      | 16
yo       | 15
gn       | 14
se       | 13
oj       | 12
es-ES    | 12
kn       | 12
und      | 11
tn       | 10
iw       | 10
dz       | 10
ko-KR    | 9
sw       | 9
kk       | 7
ha       | 7
iu       | 7
ro-RO    | 6
cr       | 6
sv-FI    | 5
sv-SE    | 5
hsb      | 5
sn       | 5
syr      | 5
tk       | 4
nl-BE    | 4
frc      | 4
kg       | 4
ne       | 3
rm       | 3
gaa      | 2
ee       | 2
co       | 2
nd       | 2
ada      | 2
lkt      | 2
ki       | 2
tg       | 2
zh-CN    | 2
te       | 2
uk-UA    | 2
ain      | 2
zh-TW    | 2
szl      | 2
mr       | 2
nap      | 1
zxx      | 1
to       | 1
un       | 1
lou      | 1
scn      | 1
es-MX    | 1
mn       | 1
chr      | 1
pt-PT    | 1
zh-tw    | 1
tet      | 1
cv       | 1
Fr       | 1
lad      | 1
awa      | 1
xog      | 1
si       | 1
en-SG    | 1
mt       | 1
so       | 1
Execution time: 1310.767941 seconds
